ID,"Added on","Lead Name","Sales Rep Name","Is Closed"
1,2023-05-12,"Ulices Auer","Garry Smith",0
2,2024-01-26,"Dr. Nicolas Jacobi I","Garry Smith",0
3,2023-10-10,"Dr. Freddie Kuphal","Garry Smith",1
4,2023-04-06,"Kristin Emmerich","Garry Smith",1
5,2023-05-23,"Liliane Dicki DDS","Garry Smith",1
6,2023-05-14,"Dr. Sallie Rohan","Garry Smith",1
7,2023-10-11,"Pablo Rowe","Garry Smith",1
8,2023-07-24,"Sophie Feil","Garry Smith",1
9,2023-10-07,"Prof. Rita Windler","Garry Smith",0
10,2023-11-10,"Prof. Vanessa Feil PhD","Garry Smith",0
11,2023-04-22,"Alda Berge","Garry Smith",1
12,2023-08-06,"Delfina Gulgowski","Garry Smith",1
13,2023-10-28,"Chesley Leuschke","Garry Smith",0
14,2023-12-06,"Judd Daniel","Garry Smith",0
15,2023-09-30,"Prof. Curtis Windler","Garry Smith",0
16,2023-11-06,"Webster Funk","Garry Smith",1
17,2023-03-13,"Glen Huels MD","Garry Smith",1
18,2024-01-15,"Prof. Chandler Roob III","Garry Smith",0
19,2023-12-25,"Armando Dietrich IV","Garry Smith",1
20,2023-07-21,"Ms. Vergie McDermott II","Garry Smith",1
21,2023-04-22,"Deon Moen","Garry Smith",0
22,2023-04-13,"Malvina Stanton","Garry Smith",0
23,2023-04-15,"Amira Durgan","Garry Smith",1
24,2023-04-11,"Dr. Kale Medhurst","Garry Smith",1
25,2023-09-18,"Elmira Goodwin","Garry Smith",1
26,2023-07-19,"Connie Cole","Garry Smith",0
27,2023-02-28,"Marlee Pacocha","Garry Smith",1
28,2023-12-12,"Neva Runte","Garry Smith",0
29,2023-05-09,"Gunner Cormier","Garry Smith",0
30,2023-11-11,"Miss Violette Hegmann DDS","Garry Smith",0
31,2023-08-27,"Hannah Bartell DDS","Garry Smith",0
32,2023-10-16,"Wilma Hettinger III","Garry Smith",0
33,2023-07-14,"Dr. Pat Sanford","Garry Smith",1
34,2023-08-31,"Jefferey Rau","Garry Smith",1
35,2023-09-02,"Dr. Kaleigh Eichmann II","Garry Smith",0
36,2023-02-27,"Cooper Mills I","Garry Smith",1
37,2023-04-19,"Rod Schinner MD","Garry Smith",1
38,2023-11-01,"Kayley Medhurst","Garry Smith",0
39,2023-10-28,"Joana Walter","Garry Smith",0
40,2023-02-16,"Sonya Auer","Garry Smith",0
41,2023-09-14,"Michale Howe","Garry Smith",1
42,2023-10-19,"Zackary Barrows","Garry Smith",1
43,2023-07-27,"Cody Jacobson","Garry Smith",1
44,2023-10-24,"Tatum Hirthe","Garry Smith",1
45,2023-06-20,"Dr. Arely Funk","Garry Smith",1
46,2024-01-07,"Prof. Taryn Lakin","Garry Smith",0
47,2023-10-11,"Nicholas Labadie","Garry Smith",1
48,2023-08-20,"Miss Telly Funk Jr.","Garry Smith",0
49,2023-11-02,"Arielle Metz","Garry Smith",1
50,2023-03-30,"Dr. Calista Kiehn","Garry Smith",1
51,2023-03-26,"Dr. Aron Runte","Garry Smith",1
52,2023-07-13,"Dr. Immanuel Greenholt","Garry Smith",0
53,2023-03-15,"Megane Mohr III","Garry Smith",0
54,2023-04-04,"Abdiel Bogan DVM","Garry Smith",1
55,2023-12-10,"Eldridge Ziemann","Garry Smith",0
56,2023-10-15,"Brooks Haley","Garry Smith",1
57,2023-12-10,"Declan Bradtke I","Garry Smith",1
58,2023-10-21,"Edward Reilly III","Garry Smith",0
59,2023-03-31,"Dr. Nick Williamson Sr.","Garry Smith",1
60,2023-07-09,"Lois Kilback","Garry Smith",1
61,2023-10-31,"Greg Gottlieb IV","Garry Smith",1
62,2023-08-16,"Shany Graham","Garry Smith",1
63,2023-07-04,"Dr. Dianna Berge IV","Garry Smith",1
64,2023-10-06,"Domenica Reilly","Garry Smith",0
65,2023-03-18,"Wilma Schmitt","Garry Smith",1
66,2023-07-02,"Ms. Darlene Hudson DDS","Garry Smith",0
67,2023-09-23,"Carter Breitenberg","Garry Smith",0
68,2023-11-02,"Marlin Cole","Garry Smith",1
69,2024-01-04,"Floyd Witting","Garry Smith",0
70,2023-08-21,"Mr. Alexis Kohler Sr.","Garry Smith",0
71,2023-02-02,"Prof. Aileen Schinner IV","Garry Smith",0
72,2023-03-24,"Prof. Brando Doyle MD","Garry Smith",0
73,2023-02-22,"Sigmund Cole","Garry Smith",1
74,2024-01-03,"Dr. Evalyn Miller","Garry Smith",1
75,2024-01-20,"Tania Nolan","Garry Smith",1
76,2023-07-24,"Beau Simonis","Garry Smith",1
77,2023-12-17,"Prof. Kenton West","Garry Smith",1
78,2024-01-14,"Elinore Runte","Garry Smith",1
79,2023-12-05,"Leanna Tillman","Garry Smith",0
80,2023-04-07,"Prof. Dedrick Herzog V","Garry Smith",0
81,2023-12-26,"Ansel Bruen","Garry Smith",0
82,2023-06-10,"Prof. Heath Boyle Sr.","Garry Smith",1
83,2023-11-15,"Bernita Turner","Garry Smith",1
84,2023-05-24,"Dr. Graham Gislason","Garry Smith",1
85,2023-05-24,"Edmond Gaylord Sr.","Garry Smith",1
86,2023-07-07,"Else Deckow","Garry Smith",1
87,2023-11-15,"Bella Kuvalis","Garry Smith",0
